"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","REPORT_TYPE","SOURCE","AWND","CDSD","CLDD","DYHF","DailyAverageDryBulbTemperature","DailyAverageStationPressure","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","WindEquipmentChangeDate"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T15:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.49","36","41","T",,"0.01","8","82","29.49","FEW:02 25 SCT:04 34 BKN:07 50","29.46","10.00","39","150",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET15103/01/24 15:53:02 METAR KBFI 012353Z 15006KT 10SM FEW025 SCT034 BKN050 05/02 A2949 RMK AO2 RAB02E39 SLP985 P0000 60008 T00500022 10056 20028 58003 (LG)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T16:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.47","36","40","0.03",,,,"86","29.47","FEW:02 25 SCT:04 34 BKN:07 50","29.44","10.00","38","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12203/01/24 16:53:01 METAR KBFI 020053Z 00000KT 10SM FEW025 SCT034 BKN050 04/02 A2947 RMK AO2 RAB03E26 SLP979 P0003 T00440022","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T17:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.45","36","39","0.00",,,,"89","29.45","SCT:04 20 BKN:07 250","29.42","10.00","38","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10003/01/24 17:53:01 METAR KBFI 020153Z 00000KT 10SM SCT020 BKN250 04/02 A2945 RMK AO2 SLP973 T00390022","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T18:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.42","36","38","0.00",,"0.07","8","93","29.42","CLR:00","29.39","10.00","37","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10203/01/24 18:53:01 METAR KBFI 020253Z 00000KT 10SM CLR 03/02 A2942 RMK AO2 SLP962 60003 T00330022 58024","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T19:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.36","35","39","0.00",,,,"86","29.36","CLR:00","29.33","10.00","37","040",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09003/01/24 19:53:01 METAR KBFI 020353Z 04004KT 10SM CLR 04/02 A2936 RMK AO2 SLP943 T00390017","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T20:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.33","35","38","0.00",,,,"89","29.33","SCT:04 120","29.30","10.00","37","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09303/01/24 20:53:01 METAR KBFI 020453Z 00000KT 10SM SCT120 03/02 A2933 RMK AO2 SLP933 T00330017","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T21:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.32","35","38","0.00",,"0.10","6","89","29.32","BKN:07 110","29.29","10.00","37","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11703/01/24 21:53:01 METAR KBFI 020553Z 00000KT 10SM BKN110 03/02 A2932 RMK AO2 SLP928 60003 T00330017 10050 20028 56034","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T22:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.30","35","38","0.00",,,,"89","29.30","OVC:08 70","29.27","10.00","37","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09303/01/24 22:53:01 METAR KBFI 020653Z 00000KT 10SM OVC070 03/02 A2930 RMK AO2 SLP923 T00330017","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T23:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,"29.28","36","38","0.00",,,,"93","29.28","SCT:04 50 OVC:08 70","29.25","10.00","37","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11003/01/24 23:53:01 METAR KBFI 020753Z 00000KT 10SM SCT050 OVC070 03/02 A2928 RMK AO2 SLP914 T00330022 400560022","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-05-17"
"72793524234","SEATTLE BOEING FIELD, WA US","47.54554","-122.31475","7.6","2024-03-01T23:59:00","SOD  ","6",,,,,"39","29.42","5.7","0","-5.5","26","42","36","170","28","0.13","170","20","RA BR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SOD73024 HR PRECIPITATION (IN):0.13  24 HR MAX TEMP (F):42 24 HR MAX TEMP TIME (LST):1102 24 HR MIN TEMP (F):36 24 HR MIN TEMP TIME (LST):0740 AVERAGE STATION PRESSURE:29.420 MINIMUM SEA LEVEL PRESSURE:29.27 TIME OF OCCURRENCE:2351 PEAK WIND SPEED (MPH):28  PEAK WIND DIR (DEG):170 PEAK WIND TIME (LST):0422  FASTEST 2MIN SPEED (MPH):20 FASTEST 2MIN DIR (DEG):170 FASTEST 2MIN TIME (LST):0423 AVERAGE WIND SPEED (MPH):5.7  24 HR AVG TEMP (F):39 HEATING DEGREE DAYS:26  COOLING DEGREE DAYS:0   LATEST DAY MAX TEMP (0700-1900 LST):42  LATEST NIGHT MIN TEMP(1900-0800 LST):34 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.01 0.01 T    0.00 T    T    T    0.00 0.00 0.00 0.00 0.02 0.02 0.04 T    T    0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00","SOD  ","6",,,,,,,,,,,,,,,,,,,,,,,,,"0648","1756","2007-05-17"
